;; Orthographic Sender: Helps type some common orthographical marks without copy pasting. This library tries to avoid symbols and pictograms. ;; 171 definitions.

*C1?OZ‖^apostrophe ‖SI‖En‖{U+02BC}‖modifier letter apostrophe (U+02BC)

*C1?OZ‖^poundsign ‖SI‖En‖{U+00A3}‖pound sign (U+00A3)
*C1?OZ‖^yensign ‖SI‖En‖{U+00A5}‖yen sign (U+00A5)
*C1?OZ‖^eurosign ‖SI‖En‖{U+20AC}‖euro sign (U+20AC)

*C1?OZ‖^permille ‖SI‖En‖{U+2040}‖character tie (U+2040)
*C1?OZ‖^permillesign ‖SI‖En‖{U+2030}‖per mille sign (U+2030)
*C1?OZ‖^pertenthousand ‖SI‖En‖{U+2031}‖per ten thousand sign (U+2031)
*C1?OZ‖^pertenthousandsign ‖SI‖En‖{U+2031}‖per ten thousand sign (U+2031)
*C1?OZ‖^basispoint ‖SI‖En‖{U+2031}‖per ten thousand sign (U+2031)

*C1?OZ‖^nobreakspace ‖SI‖En‖{U+00A0}‖no-break space (U+00A0)
*C1?OZ‖^hairspace ‖SI‖En‖{U+200A}‖hair space (U+200A)
*C1?OZ‖^thinspace ‖SI‖En‖{U+2009}‖thin space (U+2009)
*C1?OZ‖^enspace ‖SI‖En‖{U+2002}‖en space (U+2002)
*C1?OZ‖^emspace ‖SI‖En‖{U+2003}‖em space (U+2003)
*C1?OZ‖^tab ‖SI‖En‖{U+0009}‖character tabulation (U+0009)
*C1?OZ‖^tabulation ‖SI‖En‖{U+0009}‖character tabulation (U+0009)
*C1?OZ‖^paragraphstart ‖SI‖En‖{U+0009}‖character tabulation (U+0009)

*C1?OZ‖^triangularcolon ‖SI‖En‖{U+02D0}‖modifier letter triangular colon (U+02D0)
*C1?OZ‖^trianglecolon ‖SI‖En‖{U+02D0}‖modifier letter triangular colon (U+02D0)
‍*C1?OZ‖^halftriangularcolon ‖SI‖En‖{U+02D1}‖modifier letter half triangular colon (U+02D1)
*C1?OZ‖^halftrianglecolon ‖SI‖En‖{U+02D1}‖modifier letter half triangular colon (U+02D1)
*C1?OZ‖^tricolon ‖SI‖En‖{U+205D}‖tricolon (U+205D)
*C1?OZ‖^triplecolon ‖SI‖En‖{U+205D}‖tricolon (U+205D)
*C1?OZ‖^quadcolon ‖SI‖En‖{U+205E}‖vertical four dots (U+205E)
*C1?OZ‖^quadruplecolon ‖SI‖En‖{U+205E}‖vertical four dots (U+205E)

*C1?OZ‖^interrobang ‖SI‖En‖{U+203D}‖interrobang (U+203D)
*C1?OZ‖^interabang ‖SI‖En‖{U+203D}‖interrobang (U+203D)
*C1?OZ‖^invertedquestion ‖SI‖En‖{U+00BF}‖inverted question mark (U+00BF)
*C1?OZ‖^invertedquestionmark ‖SI‖En‖{U+00BF}‖inverted question mark (U+00BF)
*C1?OZ‖^upsidedownquestion ‖SI‖En‖{U+00BF}‖inverted question mark (U+00BF)
*C1?OZ‖^upsidedownquestionmark ‖SI‖En‖{U+00BF}‖inverted question mark (U+00BF)
*C1?OZ‖^invertedexclamation ‖SI‖En‖{U+00A1}‖inverted exclamation mark (U+00A1)
*C1?OZ‖^invertedexclamationmark ‖SI‖En‖{U+00A1}‖inverted exclamation mark (U+00A1)
*C1?OZ‖^upsidedownexclamation ‖SI‖En‖{U+00A1}‖inverted exclamation mark (U+00A1)
*C1?OZ‖^upsidedownexclamationmark ‖SI‖En‖{U+00A1}‖inverted exclamation mark (U+00A1)
*C1?OZ‖^doublequestion ‖SI‖En‖{U+2047}‖double question mark (U+2047)
*C1?OZ‖^doublequestionmark ‖SI‖En‖{U+2047}‖double question mark (U+2047)
*C1?OZ‖^questionexclamation ‖SI‖En‖{U+2048}‖question exclamation mark (U+2048)
*C1?OZ‖^questionexclamationmark ‖SI‖En‖{U+2048}‖question exclamation mark (U+2048)

*C1?OZ‖^plusminus ‖SI‖En‖{U+00B1}‖plus-minus sign (U+00B1)
*C1?OZ‖^plusminussign ‖SI‖En‖{U+00B1}‖plus-minus sign (U+00B1)
*C1?OZ‖^minusplus ‖SI‖En‖{U+2213}‖minus-or-plus sign (U+2213)
*C1?OZ‖^minusplussign ‖SI‖En‖{U+2213}‖minus-or-plus sign (U+2213)
*C1?OZ‖^notequals ‖SI‖En‖{U+2260}‖not equal to (U+2260)
*C1?OZ‖^notequalssign ‖SI‖En‖{U+2260}‖not equal to (U+2260)
*C1?OZ‖^notequalto ‖SI‖En‖{U+2260}‖not equal to (U+2260)
*C1?OZ‖^emptyset ‖SI‖En‖{U+2205}‖empty set (U+2205)
*C1?OZ‖^lessthanorequal ‖SI‖En‖{U+2264}‖less-than or equal to (U+2264)
*C1?OZ‖^lessthanorequalto ‖SI‖En‖{U+2264}‖less-than or equal to (U+2264)
*C1?OZ‖^greaterthanorequal ‖SI‖En‖{U+2265}‖greater-than or equal to (U+2265)
*C1?OZ‖^greaterthanorequalto ‖SI‖En‖{U+2265}‖greater-than or equal to (U+2265)
*C1?OZ‖^multiplicationsign ‖SI‖En‖{U+00D7}‖multiplication sign (U+00D7)
*C1?OZ‖^divisionsign ‖SI‖En‖{U+00F7}‖division sign (U+00F7)
*C1?OZ‖^longdivision ‖SI‖En‖{U+27CC}‖long division (U+27CC)
*C1?OZ‖^longdivisionsign ‖SI‖En‖{U+27CC}‖long division (U+27CC)
*C1?OZ‖^squareroot ‖SI‖En‖{U+221A}‖square root (U+221A)
*C1?OZ‖^infinity ‖SI‖En‖{U+221E}‖infinity (U+221E)
*C1?OZ‖^infinitysign ‖SI‖En‖{U+221E}‖infinity (U+221E)
*C1?OZ‖^angle ‖SI‖En‖{U+2221}‖measured angle (U+2221)
*C1?OZ‖^rightangle ‖SI‖En‖{U+22BE}‖right angle with arc (U+22BE)

*C1?Z‖^quotationmarks ‖SI‖En‖“”{left 1}‖quotation marks open-close
*C1?Z‖^lowhighquotationmarks ‖SI‖En‖„“{left 1}‖low-high quotation marks open-close
*C1?Z‖^singlequotationmarks ‖SI‖En‖‘’{left 1}‖single quotation marks open-close
*C1?Z‖^parentheses ‖SI‖En‖(){left 1}‖parentheses open-close
*C1?Z‖^parenthesis ‖SI‖En‖(){left 1}‖parentheses open-close
*C1?Z‖^parenthesises ‖SI‖En‖(){left 1}‖parentheses open-close
*C1?Z‖^roundbrackets ‖SI‖En‖(){left 1}‖parentheses open-close
*C1?Z‖^brackets ‖SI‖En‖[]{left 1}‖brackets open-close
*C1?Z‖^curlybrackets ‖SI‖En‖{}{left 1}‖curly brackets open-close
*C1?Z‖^strings ‖SI‖En‖""{left 1}‖strings open-close
*C1?Z‖^guillemets ‖SI‖En‖«»{left 1}‖guillemets open-close
*C1?Z‖^singleguillemets ‖SI‖En‖‹›{left 1}‖chevrons open-close
*C1?Z‖^chevrons ‖SI‖En‖‹›{left 1}‖chevrons open-close
*C1?Z‖^anglebrackets ‖SI‖En‖‹›{left 1}‖angle brackets open-close
*C1?Z‖^angledbrackets ‖SI‖En‖⟨⟩{left 1}‖angle brackets open-close
*C1?Z‖^doubleanglebrackets ‖SI‖En‖《》{left 1}‖double angle brackets open-close
*C1?Z‖^doubleangledbrackets ‖SI‖En‖《》{left 1}‖double angle brackets open-close
