/*
License:		CC BY-SA (Creative Commons Attribution-ShareAlike)

Author:		Maciej Słojewski (🐘), http://mslonik.pl

Purpose:		Based on library "(Unicode Sender) Orthographic.csv" with typomatic convention of my hotstrings.

Notes:		Reviewed, verified, supplemented and corrected on 2023-02-26.

Example:		centigrade/ -> ℃
*/

*C1?Z‖tieunderreverse/‖SI‖En‖⁔‖inverted undertie (U+2054)
*C1?Z‖dottedcircle/‖SI‖En‖◌‖dotted circle (U+25CC)
*C1?Z‖dottedsquare/‖SI‖En‖⬚‖dotted square (U+2B1A)
*C1?Z‖uncertaintysign/‖SI‖En‖⯑‖uncertainty sign (U+2BD1)
*C1?Z‖overline/‖SI‖En‖‾‖overline (U+203E)
*C1?Z‖topline/‖SI‖En‖‾‖overline (U+203E)
*C1?Z‖referencemark/‖SI‖En‖※‖reference mark (U+203B)
*C1?Z‖crossdotted/‖SI‖En‖⁜‖dotted cross (U+205C)
*C1?Z‖currencysign/‖SI‖En‖※‖currency sign (U+00A4)
*C1?Z‖centsign/‖SI‖En‖¢‖cent sign (U+00A2)
*C1?Z‖poundsign/‖SI‖En‖£‖pound sign (U+00A3)
*C1?Z‖yensign/‖SI‖En‖¥‖yen sign (U+00A5)
*C1?Z‖eurosign/‖SI‖En‖€‖euro sign (U+20AC)
*C1?Z‖nobreakspace/‖SI‖En‖{U+00A0}‖no-break space (U+00A0)
*C1?Z‖nonbreakingspace/‖SI‖En‖{U+00A0}‖no-break space (U+00A0)
*C1?Z‖non-breakingspace/‖SI‖En‖{U+00A0}‖no-break space (U+00A0)
*C1?Z‖hairspace/‖SI‖En‖{U+200A}‖hair space (U+200A)
*C1?Z‖thinspace/‖SI‖En‖{U+2009}‖thin space (U+2009)
*C1?Z‖enspace/‖SI‖En‖{U+2002}‖en space (U+2002)
*C1?Z‖emspace/‖SI‖En‖{U+2003}‖em space (U+2003)
*C1?Z‖tab/‖SI‖En‖{U+0009}‖character tabulation (U+0009)
*C1?Z‖tabulation/‖SI‖En‖{U+0009}‖character tabulation (U+0009)
*C1?Z‖paragraphstart/‖SI‖En‖{U+0009}‖character tabulation (U+0009)
*C1?Z‖triangularcolon/‖SI‖En‖ː‖modifier letter triangular colon (U+02D0)
*C1?Z‖trianglecolon/‖SI‖En‖ː‖modifier letter triangular colon (U+02D0)
‍*C1?Z‖triangularcolonhalf/‖SI‖En‖ˑ‖modifier letter half triangular colon (U+02D1)
*C1?Z‖trianglecolonhalf/‖SI‖En‖ˑ‖modifier letter half triangular colon (U+02D1)
*C1?Z‖tricolon/‖SI‖En‖⁝‖tricolon (U+205D)
*C1?Z‖triplecolon/‖SI‖En‖⁝‖tricolon (U+205D)
*C1?Z‖quadcolon/‖SI‖En‖⁞‖vertical four dots (U+205E)
*C1?Z‖quadruplecolon/‖SI‖En‖⁞‖vertical four dots (U+205E)
*C1?Z‖interrobang/‖SI‖En‖‽‖interrobang (U+203D)
*C1?Z‖interabang/‖SI‖En‖‽‖interrobang (U+203D)
*C1?Z‖invertedquestion/‖SI‖En‖¿‖inverted question mark (U+00BF)
*C1?Z‖invertedquestionmark/‖SI‖En‖¿‖inverted question mark (U+00BF)
*C1?Z‖upsidedownquestion/‖SI‖En‖¿‖inverted question mark (U+00BF)
*C1?Z‖upsidedownquestionmark/‖SI‖En‖¿‖inverted question mark (U+00BF)
*C1?Z‖invertedexclamation/‖SI‖En‖¡‖inverted exclamation mark (U+00A1)
*C1?Z‖invertedexclamationmark/‖SI‖En‖¡‖inverted exclamation mark (U+00A1)
*C1?Z‖upsidedownexclamation/‖SI‖En‖¡‖inverted exclamation mark (U+00A1)
*C1?Z‖upsidedownexclamationmark/‖SI‖En‖¡‖inverted exclamation mark (U+00A1)
*C1?Z‖doublequestion/‖SI‖En‖⁇‖double question mark (U+2047)
*C1?Z‖doublequestionmark/‖SI‖En‖⁇‖double question mark (U+2047)
*C1?Z‖questionexclamation/‖SI‖En‖⁈‖question exclamation mark (U+2048)
*C1?Z‖questionexclamationmark/‖SI‖En‖⁈‖question exclamation mark (U+2048)

*C1?Z‖quotationheavydouble/‖SI‖En‖❝❞{left 1}‖Heavy Double Turned Comma Quotation Mark Ornament (U+275D)(U+275E)
*C1?Z‖quotationheavysingle/‖SI‖En‖❛❜{left 1}‖Heavy Single Turned Comma Quotation Mark Ornament (U+275B)(U+275C)
*C1?Z‖quotationmarks/‖SI‖En‖“”{left 1}‖Double Quotation Mark open-close (U+201C) (U+201D)
*C1?Z‖quotationmarkssingle/‖SI‖En‖‘’{left 1}‖single quotation marks open-close (U+2018) (U+2019)
*C1?Z‖quotationmarksdoublelowhigh/‖SI‖En‖⹂“{left 1}‖Double -9 Quotation Mark low-high (U+2E42) (U+201C)
*C1?Z‖quotationmarksdoublereversed/‖SI‖En‖„‟{left 1}‖double reversed-9 quotation mark low-high (U+201E)(U+201F)
*C1?Z‖parentheses/‖SI‖En‖(){left 1}‖parentheses open-close
*C1?Z‖parenthesis/‖SI‖En‖(){left 1}‖parentheses open-close
*C1?Z‖parenthesises/‖SI‖En‖(){left 1}‖parentheses open-close
*C1?Z‖roundbrackets/‖SI‖En‖(){left 1}‖parentheses open-close
*C1?Z‖squarebrackets/‖SI‖En‖[]{left 1}‖brackets open-close
*C1?Z‖curlybrackets/‖SI‖En‖{}{left 1}‖curly brackets open-close
